item_id,store_id,date,sales,sell_price,category
FOODS_1_005,CA_1,2011-04-24,7.0,2.94,FOODS
FOODS_1_005,CA_2,2011-04-24,21.0,2.94,FOODS
FOODS_1_005,CA_3,2011-04-24,21.0,2.94,FOODS
FOODS_1_005,TX_1,2011-04-24,1.0,2.94,FOODS
FOODS_1_005,TX_2,2011-04-24,3.0,2.94,FOODS
FOODS_1_005,TX_3,2011-04-24,6.0,2.94,FOODS
FOODS_1_010,CA_1,2013-05-05,1.0,5.23,FOODS
FOODS_1_010,CA_1,2014-06-15,1.0,5.4,FOODS
FOODS_1_010,CA_4,2014-06-15,2.0,5.4,FOODS
FOODS_1_010,TX_3,2014-06-15,2.0,6.03,FOODS
FOODS_1_010,WI_1,2014-06-15,2.0,7.03,FOODS
FOODS_1_011,CA_3,2011-04-24,2.0,2.28,FOODS
FOODS_1_011,CA_4,2011-04-24,1.0,2.28,FOODS
FOODS_1_014,CA_1,2014-04-20,2.0,0.98,FOODS
FOODS_1_014,CA_2,2014-06-15,1.0,0.98,FOODS
FOODS_1_014,CA_3,2014-04-20,2.0,0.98,FOODS
FOODS_1_014,TX_1,2013-05-05,4.0,0.98,FOODS
FOODS_1_014,TX_1,2014-04-20,1.0,0.98,FOODS
FOODS_1_014,TX_1,2014-06-15,1.0,0.98,FOODS
FOODS_1_014,TX_2,2013-05-05,3.0,0.98,FOODS
FOODS_1_014,TX_3,2013-05-05,2.0,0.98,FOODS
FOODS_1_014,WI_2,2013-05-05,1.0,0.98,FOODS
FOODS_1_014,WI_2,2014-04-20,1.0,0.98,FOODS
FOODS_1_014,WI_2,2014-06-15,1.0,0.98,FOODS
FOODS_1_014,WI_3,2013-05-05,2.0,0.98,FOODS
FOODS_1_016,CA_1,2011-04-24,1.0,1.96,FOODS
FOODS_1_016,CA_1,2014-04-20,1.0,1.98,FOODS
FOODS_1_016,CA_1,2014-06-15,3.0,1.98,FOODS
FOODS_1_016,CA_2,2011-04-24,2.0,1.96,FOODS
FOODS_1_016,CA_3,2014-04-20,1.0,1.98,FOODS
FOODS_1_016,CA_3,2014-06-15,3.0,1.98,FOODS
FOODS_1_016,CA_4,2013-05-05,5.0,1.98,FOODS
FOODS_1_016,CA_4,2014-06-15,2.0,1.98,FOODS
FOODS_1_016,TX_2,2013-05-05,4.0,1.98,FOODS
FOODS_1_016,TX_2,2014-04-20,1.0,1.98,FOODS
FOODS_1_016,TX_2,2014-06-15,2.0,1.98,FOODS
FOODS_1_016,TX_3,2014-06-15,5.0,1.98,FOODS
FOODS_1_016,WI_1,2013-05-05,1.0,1.98,FOODS
FOODS_1_016,WI_1,2014-04-20,1.0,1.98,FOODS
FOODS_1_016,WI_2,2013-05-05,1.0,1.98,FOODS
FOODS_1_016,WI_2,2014-06-15,2.0,1.98,FOODS
FOODS_1_030,CA_1,2013-05-05,1.0,3.24,FOODS
FOODS_1_030,CA_2,2014-04-20,1.0,3.24,FOODS
FOODS_1_030,CA_2,2014-06-15,2.0,3.24,FOODS
FOODS_1_030,CA_3,2011-04-24,3.0,2.78,FOODS
FOODS_1_030,CA_3,2013-05-05,2.0,3.24,FOODS
FOODS_1_030,CA_4,2013-05-05,1.0,3.24,FOODS
FOODS_1_030,TX_1,2013-05-05,3.0,3.24,FOODS
FOODS_1_030,TX_2,2014-06-15,2.0,3.24,FOODS
FOODS_1_030,TX_3,2011-04-24,4.0,2.78,FOODS
FOODS_1_040,CA_1,2014-04-20,3.0,1.78,FOODS
FOODS_1_040,CA_2,2011-04-24,5.0,1.76,FOODS
FOODS_1_040,CA_2,2013-05-05,2.0,1.78,FOODS
FOODS_1_040,CA_2,2014-04-20,7.0,1.78,FOODS
FOODS_1_040,CA_3,2011-04-24,7.0,1.76,FOODS
FOODS_1_040,CA_3,2013-05-05,8.0,1.78,FOODS
FOODS_1_040,CA_3,2014-04-20,1.0,1.78,FOODS
FOODS_1_040,CA_4,2014-04-20,4.0,1.78,FOODS
FOODS_1_040,TX_1,2011-04-24,2.0,1.76,FOODS
FOODS_1_040,TX_1,2014-04-20,4.0,1.78,FOODS
FOODS_1_040,TX_2,2011-04-24,4.0,1.76,FOODS
FOODS_1_040,TX_3,2013-05-05,2.0,1.78,FOODS
FOODS_1_040,WI_1,2013-05-05,2.0,1.78,FOODS
FOODS_1_040,WI_1,2014-04-20,4.0,1.78,FOODS
FOODS_1_040,WI_2,2011-04-24,8.0,1.76,FOODS
FOODS_1_040,WI_2,2013-05-05,3.0,1.78,FOODS
FOODS_1_040,WI_2,2014-04-20,2.0,1.78,FOODS
FOODS_1_040,WI_3,2011-04-24,3.0,1.76,FOODS
FOODS_1_040,WI_3,2013-05-05,1.0,1.78,FOODS
FOODS_1_040,WI_3,2014-04-20,2.0,1.78,FOODS
FOODS_1_045,CA_1,2013-05-05,2.0,1.78,FOODS
FOODS_1_045,CA_1,2014-04-20,6.0,1.78,FOODS
FOODS_1_045,CA_2,2011-04-24,5.0,1.76,FOODS
FOODS_1_045,CA_2,2014-04-20,2.0,1.78,FOODS
FOODS_1_045,CA_3,2011-04-24,8.0,1.76,FOODS
FOODS_1_045,CA_3,2014-04-20,2.0,1.78,FOODS
FOODS_1_045,CA_4,2013-05-05,5.0,1.78,FOODS
FOODS_1_045,CA_4,2014-04-20,4.0,1.78,FOODS
FOODS_1_045,TX_1,2011-04-24,1.0,1.76,FOODS
FOODS_1_045,TX_2,2014-04-20,1.0,1.78,FOODS
FOODS_1_045,TX_3,2011-04-24,5.0,1.76,FOODS
FOODS_1_045,TX_3,2013-05-05,2.0,1.78,FOODS
FOODS_1_045,WI_1,2013-05-05,3.0,1.78,FOODS
FOODS_1_045,WI_1,2014-04-20,5.0,1.78,FOODS
FOODS_1_045,WI_2,2011-04-24,2.0,1.76,FOODS
FOODS_1_045,WI_2,2013-05-05,2.0,1.78,FOODS
FOODS_1_047,CA_1,2011-04-24,4.0,2.94,FOODS
FOODS_1_047,CA_2,2011-04-24,9.0,2.94,FOODS
FOODS_1_047,CA_3,2011-04-24,4.0,2.94,FOODS
FOODS_1_047,TX_2,2011-04-24,1.0,2.94,FOODS
FOODS_1_047,WI_2,2011-04-24,1.0,3.24,FOODS
FOODS_1_047,WI_3,2011-04-24,2.0,2.94,FOODS
FOODS_1_052,CA_1,2014-04-20,2.0,0.98,FOODS
FOODS_1_052,CA_1,2014-06-15,5.0,0.98,FOODS
FOODS_1_052,CA_2,2014-04-20,1.0,0.98,FOODS
FOODS_1_052,CA_3,2014-04-20,2.0,0.98,FOODS
FOODS_1_052,CA_3,2014-06-15,3.0,0.98,FOODS
FOODS_1_052,TX_1,2014-04-20,1.0,0.98,FOODS
FOODS_1_052,TX_2,2014-06-15,1.0,0.98,FOODS
FOODS_1_052,TX_3,2013-05-05,1.0,0.98,FOODS
FOODS_1_052,WI_1,2013-05-05,4.0,0.98,FOODS
FOODS_1_052,WI_1,2014-06-15,3.0,0.98,FOODS
FOODS_1_052,WI_2,2014-06-15,4.0,0.98,FOODS
FOODS_1_052,WI_3,2013-05-05,1.0,0.98,FOODS
